"id","product_id","image_url","sort_order","is_main","created_time"
"6","86","/images/数码家电0/电子产品5/86手机.webp","1","1","16/4/2025 20:17:51"
"7","87","/images/数码家电0/电子产品5/87平板电脑97.webp","1","1","16/4/2025 20:19:00"
"8","88","/images/数码家电0/电子产品5/88笔记本电脑97.webp","1","1","16/4/2025 20:28:16"
"9","89","/images/数码家电0/电子产品5/89相机97.jpg","1","1","16/4/2025 20:28:57"
"10","90","/images/数码家电0/电子产品5/90耳机97.webp","1","1","16/4/2025 20:29:14"
"11","91","/images/数码家电0/电子产品5/91音箱97.webp","1","1","16/4/2025 20:29:28"
"12","92","/images/数码家电0/电子产品5/92移动电源97.webp","1","1","16/4/2025 20:29:42"
"13","93","/images/数码家电0/大家电5/93冰箱98.webp","1","1","16/4/2025 20:32:44"
"14","94","/images/数码家电0/大家电5/94电视98.webp","1","1","16/4/2025 20:33:03"
"15","95","/images/数码家电0/大家电5/95空调98.webp","1","1","16/4/2025 20:33:27"
"16","96","/images/数码家电0/大家电5/96洗衣机98.webp","1","1","16/4/2025 20:33:43"
"17","97","/images/数码家电0/大家电5/97热水器98.webp","1","1","16/4/2025 20:33:56"
"18","98","/images/数码家电0/大家电5/98油烟机98.webp","1","1","16/4/2025 20:34:07"
"19","99","/images/数码家电0/大家电5/99燃气灶98.jpg","1","1","16/4/2025 20:34:26"
"20","100","/images/数码家电0/小家电5/100电饭煲99.jpg","1","1","16/4/2025 20:43:57"
"21","101","/images/数码家电0/小家电5/101电水壶99.webp","1","1","16/4/2025 20:44:10"
"22","102","/images/数码家电0/小家电5/102吹风机99.jpg","1","1","16/4/2025 20:44:55"
"23","103","/images/数码家电0/小家电5/103吸尘器99.jpg","1","1","16/4/2025 20:45:10"
"24","104","/images/数码家电0/小家电5/104空气净化器99.webp","1","1","16/4/2025 20:45:24"
"25","105","/images/数码家电0/小家电5/105加湿器99.webp","1","1","16/4/2025 20:45:37"
"26","61","/images/食品饮料0/饮品3/61碳酸饮料61.webp","1","1","16/4/2025 20:47:37"
"27","62","/images/食品饮料0/饮品3/62果汁61.webp","1","1","16/4/2025 20:47:50"
"28","63","/images/食品饮料0/饮品3/63茶饮料61.webp","1","1","16/4/2025 20:48:11"
"29","64","/images/食品饮料0/饮品3/64咖啡61.jpg","1","1","16/4/2025 20:48:24"
"30","65","/images/食品饮料0/饮品3/65奶制品61.webp","1","1","16/4/2025 20:48:54"
"31","66","/images/食品饮料0/饮品3/66矿泉水61.jpg","1","1","16/4/2025 20:49:00"
